Ag,Au,Pd,Pt,Rh,Composition,Similarity_to_resistance
12.4,47.74,16.45,3.6,19.81,Ag12.40Au47.74Pd16.45Pt3.60Rh19.81,0.39806533
11.51,48.46,17.28,2.94,19.81,Ag11.51Au48.46Pd17.28Pt2.94Rh19.81,0.3970644
31.3,16.53,7.16,6.54,38.47,Ag31.30Au16.53Pd7.16Pt6.54Rh38.47,0.43007496
30.3,18.4,7.72,6.29,37.29,Ag30.30Au18.40Pd7.72Pt6.29Rh37.29,0.42815334
28.76,20.62,8.65,6.15,35.82,Ag28.76Au20.62Pd8.65Pt6.15Rh35.82,0.4262921
26.49,22.58,8.63,6.18,36.12,Ag26.49Au22.58Pd8.63Pt6.18Rh36.12,0.4258341
24.61,25.36,10.82,6.12,33.1,Ag24.61Au25.36Pd10.82Pt6.12Rh33.10,0.42323405
23.07,28.22,11.34,5.79,31.58,Ag23.07Au28.22Pd11.34Pt5.79Rh31.58,0.42018896
20.93,30.49,12.71,6.09,29.77,Ag20.93Au30.49Pd12.71Pt6.09Rh29.77,0.41890377
19.77,33.88,12.37,5.35,28.62,Ag19.77Au33.88Pd12.37Pt5.35Rh28.62,0.41444063
18.24,36.74,13.92,5.16,25.93,Ag18.24Au36.74Pd13.92Pt5.16Rh25.93,0.41112888
17.56,38.51,14.68,4.88,24.37,Ag17.56Au38.51Pd14.68Pt4.88Rh24.37,0.40871596
14.82,42.0,16.3,4.4,22.49,Ag14.82Au42.00Pd16.30Pt4.40Rh22.49,0.40527326
13.75,43.59,17.52,3.98,21.16,Ag13.75Au43.59Pd17.52Pt3.98Rh21.16,0.40321967
12.66,46.35,18.72,3.73,18.54,Ag12.66Au46.35Pd18.72Pt3.73Rh18.54,0.39951444
11.62,48.03,19.74,3.12,17.49,Ag11.62Au48.03Pd19.74Pt3.12Rh17.49,0.39716846
10.92,50.64,20.22,2.72,15.5,Ag10.92Au50.64Pd20.22Pt2.72Rh15.50,0.39337116
34.96,14.8,6.23,7.35,36.64,Ag34.96Au14.80Pd6.23Pt7.35Rh36.64,0.4294408
32.61,16.52,7.01,7.15,36.71,Ag32.61Au16.52Pd7.01Pt7.15Rh36.71,0.42924398
31.69,18.2,7.39,7.46,35.26,Ag31.69Au18.20Pd7.39Pt7.46Rh35.26,0.4280138
29.74,20.07,9.0,6.92,34.27,Ag29.74Au20.07Pd9.00Pt6.92Rh34.27,0.42663628
27.51,22.62,10.3,6.9,32.68,Ag27.51Au22.62Pd10.30Pt6.90Rh32.68,0.42500055
25.83,24.71,11.83,6.87,30.76,Ag25.83Au24.71Pd11.83Pt6.87Rh30.76,0.42332113
24.23,27.57,12.02,6.49,29.69,Ag24.23Au27.57Pd12.02Pt6.49Rh29.69,0.42039356
22.26,29.78,13.42,6.34,28.2,Ag22.26Au29.78Pd13.42Pt6.34Rh28.20,0.41866994
20.61,32.75,13.56,6.22,26.85,Ag20.61Au32.75Pd13.56Pt6.22Rh26.85,0.41573676
18.17,35.51,15.36,5.93,25.03,Ag18.17Au35.51Pd15.36Pt5.93Rh25.03,0.41333538
16.9,38.34,16.22,5.45,23.09,Ag16.90Au38.34Pd16.22Pt5.45Rh23.09,0.40968925
15.49,41.03,16.89,4.79,21.79,Ag15.49Au41.03Pd16.89Pt4.79Rh21.79,0.40626138
14.19,42.97,18.96,4.58,19.31,Ag14.19Au42.97Pd18.96Pt4.58Rh19.31,0.4038555
12.85,44.91,19.67,4.54,18.02,Ag12.85Au44.91Pd19.67Pt4.54Rh18.02,0.4019072
12.59,47.57,20.26,3.91,15.67,Ag12.59Au47.57Pd20.26Pt3.91Rh15.67,0.39743763
10.53,48.46,22.04,3.57,15.4,Ag10.53Au48.46Pd22.04Pt3.57Rh15.40,0.39723623
9.44,51.3,22.74,2.86,13.66,Ag9.44Au51.30Pd22.74Pt2.86Rh13.66,0.3931332
37.49,12.94,6.42,7.35,35.79,Ag37.49Au12.94Pd6.42Pt7.35Rh35.79,0.42924905
35.22,14.02,7.85,7.99,34.93,Ag35.22Au14.02Pd7.85Pt7.99Rh34.93,0.43049613
34.12,16.33,8.37,7.87,33.3,Ag34.12Au16.33Pd8.37Pt7.87Rh33.30,0.42818764
32.39,18.03,8.97,7.73,32.88,Ag32.39Au18.03Pd8.97Pt7.73Rh32.88,0.42739975
30.31,20.35,9.2,7.35,32.79,Ag30.31Au20.35Pd9.20Pt7.35Rh32.79,0.42593047
28.24,22.97,9.52,8.22,31.05,Ag28.24Au22.97Pd9.52Pt8.22Rh31.05,0.4249233
27.48,24.69,11.66,7.15,29.02,Ag27.48Au24.69Pd11.66Pt7.15Rh29.02,0.42187077
23.86,27.4,12.86,7.3,28.58,Ag23.86Au27.40Pd12.86Pt7.30Rh28.58,0.42147106
22.78,29.46,13.38,7.6,26.78,Ag22.78Au29.46Pd13.38Pt7.60Rh26.78,0.41959816
20.86,32.16,15.02,6.64,25.32,Ag20.86Au32.16Pd15.02Pt6.64Rh25.32,0.41635036
19.81,34.82,16.18,5.96,23.22,Ag19.81Au34.82Pd16.18Pt5.96Rh23.22,0.41255748
17.44,36.94,17.55,6.37,21.7,Ag17.44Au36.94Pd17.55Pt6.37Rh21.70,0.41164324
15.9,40.16,18.02,5.57,20.35,Ag15.90Au40.16Pd18.02Pt5.57Rh20.35,0.40750408
14.85,42.21,19.11,5.7,18.14,Ag14.85Au42.21Pd19.11Pt5.70Rh18.14,0.40517867
14.18,44.06,20.06,5.0,16.69,Ag14.18Au44.06Pd20.06Pt5.00Rh16.69,0.4021845
13.14,45.68,21.88,4.73,14.57,Ag13.14Au45.68Pd21.88Pt4.73Rh14.57,0.39997432
10.03,48.3,22.71,4.04,14.92,Ag10.03Au48.30Pd22.71Pt4.04Rh14.92,0.39810234
10.02,50.09,23.89,3.46,12.54,Ag10.02Au50.09Pd23.89Pt3.46Rh12.54,0.39458543
8.71,52.25,25.25,2.38,11.41,Ag8.71Au52.25Pd25.25Pt2.38Rh11.41,0.3912595
38.8,12.88,6.78,8.03,33.51,Ag38.80Au12.88Pd6.78Pt8.03Rh33.51,0.42834845
36.07,14.09,7.23,8.81,33.8,Ag36.07Au14.09Pd7.23Pt8.81Rh33.80,0.43022764
35.26,16.16,8.36,8.54,31.67,Ag35.26Au16.16Pd8.36Pt8.54Rh31.67,0.42769337
33.92,17.15,8.99,8.65,31.29,Ag33.92Au17.15Pd8.99Pt8.65Rh31.29,0.42770454
31.29,19.77,11.02,8.44,29.48,Ag31.29Au19.77Pd11.02Pt8.44Rh29.48,0.42615038
29.1,21.91,10.53,8.5,29.98,Ag29.10Au21.91Pd10.53Pt8.50Rh29.98,0.4255638
28.22,24.33,11.39,8.34,27.72,Ag28.22Au24.33Pd11.39Pt8.34Rh27.72,0.42258415
25.52,27.27,12.97,7.79,26.45,Ag25.52Au27.27Pd12.97Pt7.79Rh26.45,0.42027044
23.69,28.19,15.0,8.29,24.83,Ag23.69Au28.19Pd15.00Pt8.29Rh24.83,0.42065436
21.83,31.75,15.44,7.48,23.51,Ag21.83Au31.75Pd15.44Pt7.48Rh23.51,0.41650033
20.34,34.62,16.62,7.04,21.38,Ag20.34Au34.62Pd16.62Pt7.04Rh21.38,0.41301218
18.21,36.59,17.85,6.71,20.63,Ag18.21Au36.59Pd17.85Pt6.71Rh20.63,0.41156876
16.56,39.02,19.35,6.43,18.65,Ag16.56Au39.02Pd19.35Pt6.43Rh18.65,0.4088719
14.06,41.77,20.66,6.35,17.16,Ag14.06Au41.77Pd20.66Pt6.35Rh17.16,0.40663934
14.05,42.69,22.35,5.4,15.5,Ag14.05Au42.69Pd22.35Pt5.40Rh15.50,0.40404034
12.84,45.07,23.1,4.93,14.06,Ag12.84Au45.07Pd23.10Pt4.93Rh14.06,0.40098044
11.08,46.3,24.64,4.11,13.86,Ag11.08Au46.30Pd24.64Pt4.11Rh13.86,0.3996802
10.53,48.7,25.14,3.94,11.7,Ag10.53Au48.70Pd25.14Pt3.94Rh11.70,0.39623672
8.45,50.12,26.7,3.41,11.32,Ag8.45Au50.12Pd26.70Pt3.41Rh11.32,0.3950873
41.41,11.2,6.27,8.46,32.65,Ag41.41Au11.20Pd6.27Pt8.46Rh32.65,0.42818516
38.93,12.65,7.16,9.06,32.2,Ag38.93Au12.65Pd7.16Pt9.06Rh32.20,0.42925432
37.7,13.65,7.38,9.6,31.67,Ag37.70Au13.65Pd7.38Pt9.60Rh31.67,0.42958975
36.3,15.09,9.58,9.27,29.76,Ag36.30Au15.09Pd9.58Pt9.27Rh29.76,0.42834154
33.75,17.44,9.98,9.52,29.31,Ag33.75Au17.44Pd9.98Pt9.52Rh29.31,0.42789164
32.69,19.26,10.55,9.45,28.06,Ag32.69Au19.26Pd10.55Pt9.45Rh28.06,0.4262187
30.5,20.68,12.12,9.42,27.28,Ag30.50Au20.68Pd12.12Pt9.42Rh27.28,0.4261256
28.42,24.07,12.04,9.58,25.89,Ag28.42Au24.07Pd12.04Pt9.58Rh25.89,0.42349258
26.38,26.36,13.35,9.34,24.57,Ag26.38Au26.36Pd13.35Pt9.34Rh24.57,0.42174459
23.86,29.0,15.19,8.54,23.4,Ag23.86Au29.00Pd15.19Pt8.54Rh23.40,0.4193681
21.2,31.22,17.2,8.28,22.11,Ag21.20Au31.22Pd17.20Pt8.28Rh22.11,0.4180431
20.22,33.08,18.07,8.01,20.63,Ag20.22Au33.08Pd18.07Pt8.01Rh20.63,0.41577297
18.82,36.19,19.33,7.42,18.23,Ag18.82Au36.19Pd19.33Pt7.42Rh18.23,0.4116376
16.82,37.92,20.49,6.99,17.78,Ag16.82Au37.92Pd20.49Pt6.99Rh17.78,0.41035533
15.2,40.57,22.12,6.41,15.69,Ag15.20Au40.57Pd22.12Pt6.41Rh15.69,0.4069669
13.78,42.34,23.86,5.84,14.19,Ag13.78Au42.34Pd23.86Pt5.84Rh14.19,0.40469718
11.79,43.89,24.58,5.29,14.44,Ag11.79Au43.89Pd24.58Pt5.29Rh14.44,0.40359065
10.81,46.56,25.61,5.28,11.73,Ag10.81Au46.56Pd25.61Pt5.28Rh11.73,0.40005678
9.98,47.28,26.69,4.78,11.27,Ag9.98Au47.28Pd26.69Pt4.78Rh11.27,0.39903378
8.58,49.06,27.69,4.51,10.17,Ag8.58Au49.06Pd27.69Pt4.51Rh10.17,0.39707646
7.35,50.66,28.57,4.2,9.22,Ag7.35Au50.66Pd28.57Pt4.20Rh9.22,0.3952149
42.88,11.14,6.91,9.7,29.38,Ag42.88Au11.14Pd6.91Pt9.70Rh29.38,0.42736453
40.95,11.87,7.64,9.9,29.63,Ag40.95Au11.87Pd7.64Pt9.90Rh29.63,0.4285462
39.02,13.38,7.99,10.16,29.45,Ag39.02Au13.38Pd7.99Pt10.16Rh29.45,0.4287308
37.07,15.25,9.63,10.0,28.04,Ag37.07Au15.25Pd9.63Pt10.00Rh28.04,0.42774105
34.43,16.9,9.8,10.58,28.28,Ag34.43Au16.90Pd9.80Pt10.58Rh28.28,0.42872018
32.63,18.9,10.52,10.32,27.63,Ag32.63Au18.90Pd10.52Pt10.32Rh27.63,0.42744443
30.27,20.65,13.49,10.25,25.34,Ag30.27Au20.65Pd13.49Pt10.25Rh25.34,0.42663783
28.19,22.91,13.35,10.37,25.18,Ag28.19Au22.91Pd13.35Pt10.37Rh25.18,0.42568517
26.17,25.82,14.57,10.02,23.42,Ag26.17Au25.82Pd14.57Pt10.02Rh23.42,0.4229203
25.37,27.22,15.97,9.33,22.1,Ag25.37Au27.22Pd15.97Pt9.33Rh22.10,0.420779
21.97,29.85,18.49,9.31,20.38,Ag21.97Au29.85Pd18.49Pt9.31Rh20.38,0.41964012
20.65,32.47,19.21,8.97,18.71,Ag20.65Au32.47Pd19.21Pt8.97Rh18.71,0.41656867
19.14,35.67,19.76,8.19,17.24,Ag19.14Au35.67Pd19.76Pt8.19Rh17.24,0.4125113
16.9,36.21,22.35,7.73,16.8,Ag16.90Au36.21Pd22.35Pt7.73Rh16.80,0.4128223
15.19,39.02,22.66,7.88,15.25,Ag15.19Au39.02Pd22.66Pt7.88Rh15.25,0.41021046
13.44,41.51,24.8,6.67,13.6,Ag13.44Au41.51Pd24.80Pt6.67Rh13.60,0.40658283
12.5,42.13,26.23,6.67,12.48,Ag12.50Au42.13Pd26.23Pt6.67Rh12.48,0.40604904
11.05,45.58,26.06,5.66,11.65,Ag11.05Au45.58Pd26.06Pt5.66Rh11.65,0.401469
10.82,45.61,27.36,5.41,10.8,Ag10.82Au45.61Pd27.36Pt5.41Rh10.80,0.40103358
9.55,47.99,28.73,4.62,9.1,Ag9.55Au47.99Pd28.73Pt4.62Rh9.10,0.3975359
8.21,49.86,29.92,4.06,7.95,Ag8.21Au49.86Pd29.92Pt4.06Rh7.95,0.39510846
43.3,10.21,7.59,10.69,28.21,Ag43.30Au10.21Pd7.59Pt10.69Rh28.21,0.42874107
41.64,11.89,7.65,10.92,27.9,Ag41.64Au11.89Pd7.65Pt10.92Rh27.90,0.42844033
39.27,12.82,9.45,11.17,27.28,Ag39.27Au12.82Pd9.45Pt11.17Rh27.28,0.42959094
38.11,14.5,9.67,11.38,26.34,Ag38.11Au14.50Pd9.67Pt11.38Rh26.34,0.4285897
35.84,16.15,11.05,11.37,25.59,Ag35.84Au16.15Pd11.05Pt11.37Rh25.59,0.42842326
33.43,18.31,12.04,11.17,25.05,Ag33.43Au18.31Pd12.04Pt11.17Rh25.05,0.4275872
31.55,20.55,13.0,11.19,23.7,Ag31.55Au20.55Pd13.00Pt11.19Rh23.70,0.42611676
29.12,21.93,14.51,11.13,23.32,Ag29.12Au21.93Pd14.51Pt11.13Rh23.32,0.42630923
27.13,24.55,15.31,10.71,22.3,Ag27.13Au24.55Pd15.31Pt10.71Rh22.30,0.424038
25.26,27.64,16.94,10.34,19.83,Ag25.26Au27.64Pd16.94Pt10.34Rh19.83,0.4206516
22.51,29.38,18.21,10.39,19.51,Ag22.51Au29.38Pd18.21Pt10.39Rh19.51,0.4205867
20.94,31.47,19.97,9.94,17.69,Ag20.94Au31.47Pd19.97Pt9.94Rh17.69,0.41819197
18.87,34.46,20.87,9.04,16.77,Ag18.87Au34.46Pd20.87Pt9.04Rh16.77,0.41487306
17.85,35.91,21.79,8.89,15.55,Ag17.85Au35.91Pd21.79Pt8.89Rh15.55,0.4132697
15.36,38.01,24.09,8.08,14.46,Ag15.36Au38.01Pd24.09Pt8.08Rh14.46,0.41125715
14.66,40.02,25.11,7.33,12.88,Ag14.66Au40.02Pd25.11Pt7.33Rh12.88,0.4080019
13.25,41.2,27.24,7.07,11.24,Ag13.25Au41.20Pd27.24Pt7.07Rh11.24,0.40665433
12.16,43.93,27.53,6.49,9.9,Ag12.16Au43.93Pd27.53Pt6.49Rh9.90,0.40301853
10.26,45.81,29.39,5.66,8.88,Ag10.26Au45.81Pd29.39Pt5.66Rh8.88,0.40071687
9.58,45.86,30.22,5.13,9.21,Ag9.58Au45.86Pd30.22Pt5.13Rh9.21,0.40062982
9.55,47.48,30.34,4.77,7.86,Ag9.55Au47.48Pd30.34Pt4.77Rh7.86,0.39787024
44.41,10.19,6.8,11.75,26.85,Ag44.41Au10.19Pd6.80Pt11.75Rh26.85,0.42837602
42.46,11.43,6.96,12.09,27.06,Ag42.46Au11.43Pd6.96Pt12.09Rh27.06,0.42911044
40.18,12.66,8.74,12.55,25.88,Ag40.18Au12.66Pd8.74Pt12.55Rh25.88,0.42988127
38.14,14.19,10.16,12.36,25.15,Ag38.14Au14.19Pd10.16Pt12.36Rh25.15,0.4295292
35.06,15.79,11.61,12.89,24.65,Ag35.06Au15.79Pd11.61Pt12.89Rh24.65,0.43070382
33.85,17.9,12.29,12.61,23.35,Ag33.85Au17.90Pd12.29Pt12.61Rh23.35,0.42858487
31.45,19.6,14.06,12.2,22.69,Ag31.45Au19.60Pd14.06Pt12.20Rh22.69,0.42800295
29.78,22.34,14.99,12.27,20.63,Ag29.78Au22.34Pd14.99Pt12.27Rh20.63,0.42552838
27.46,24.25,16.24,11.97,20.08,Ag27.46Au24.25Pd16.24Pt11.97Rh20.08,0.4246465
25.4,26.82,17.59,11.7,18.5,Ag25.40Au26.82Pd17.59Pt11.70Rh18.50,0.42240617
22.84,28.41,19.85,11.59,17.32,Ag22.84Au28.41Pd19.85Pt11.59Rh17.32,0.4219397
21.38,30.58,20.63,10.54,16.87,Ag21.38Au30.58Pd20.63Pt10.54Rh16.87,0.41924685
19.16,32.17,22.28,10.22,16.16,Ag19.16Au32.17Pd22.28Pt10.22Rh16.16,0.41837198
17.04,35.8,23.64,9.82,13.7,Ag17.04Au35.80Pd23.64Pt9.82Rh13.70,0.41423845
16.15,36.62,25.07,9.08,13.08,Ag16.15Au36.62Pd25.07Pt9.08Rh13.08,0.41290724
13.55,38.45,26.83,8.87,12.29,Ag13.55Au38.45Pd26.83Pt8.87Rh12.29,0.41192192
13.39,38.68,28.65,7.76,11.52,Ag13.39Au38.68Pd28.65Pt7.76Rh11.52,0.41034573
11.74,41.91,28.8,7.39,10.15,Ag11.74Au41.91Pd28.80Pt7.39Rh10.15,0.40667114
11.38,42.54,30.78,6.29,9.01,Ag11.38Au42.54Pd30.78Pt6.29Rh9.01,0.40459716
9.64,43.92,31.41,6.24,8.79,Ag9.64Au43.92Pd31.41Pt6.24Rh8.79,0.4038725
8.2,46.13,32.52,5.21,7.93,Ag8.20Au46.13Pd32.52Pt5.21Rh7.93,0.40070975
45.38,10.14,6.71,12.46,25.31,Ag45.38Au10.14Pd6.71Pt12.46Rh25.31,0.4277743
43.58,11.03,8.14,13.23,24.02,Ag43.58Au11.03Pd8.14Pt13.23Rh24.02,0.428776
40.31,12.27,10.45,13.66,23.32,Ag40.31Au12.27Pd10.45Pt13.66Rh23.32,0.43052036
38.3,13.94,10.88,13.11,23.77,Ag38.30Au13.94Pd10.88Pt13.11Rh23.77,0.42998347
36.61,15.13,12.52,13.41,22.34,Ag36.61Au15.13Pd12.52Pt13.41Rh22.34,0.4299207
34.34,16.85,13.4,13.86,21.54,Ag34.34Au16.85Pd13.40Pt13.86Rh21.54,0.4300118
31.52,18.93,15.18,13.64,20.73,Ag31.52Au18.93Pd15.18Pt13.64Rh20.73,0.42946568
29.69,20.75,15.3,13.79,20.48,Ag29.69Au20.75Pd15.30Pt13.79Rh20.48,0.42887032
27.58,23.15,16.95,13.25,19.08,Ag27.58Au23.15Pd16.95Pt13.25Rh19.08,0.42674243
25.13,24.74,19.3,13.31,17.52,Ag25.13Au24.74Pd19.30Pt13.31Rh17.52,0.42627412
23.27,27.64,20.82,12.33,15.94,Ag23.27Au27.64Pd20.82Pt12.33Rh15.94,0.42275202
20.72,30.04,21.98,12.15,15.1,Ag20.72Au30.04Pd21.98Pt12.15Rh15.10,0.42128634
19.44,31.53,23.35,11.67,14.01,Ag19.44Au31.53Pd23.35Pt11.67Rh14.01,0.41957104
18.21,33.06,24.8,10.82,13.11,Ag18.21Au33.06Pd24.80Pt10.82Rh13.11,0.41745654
15.99,35.66,26.52,9.73,12.1,Ag15.99Au35.66Pd26.52Pt9.73Rh12.10,0.41442955
14.23,36.81,27.85,9.77,11.34,Ag14.23Au36.81Pd27.85Pt9.77Rh11.34,0.4139644
13.39,38.55,29.63,8.27,10.16,Ag13.39Au38.55Pd29.63Pt8.27Rh10.16,0.4104957
11.71,40.53,30.83,7.38,9.55,Ag11.71Au40.53Pd30.83Pt7.38Rh9.55,0.40806985
11.5,41.48,31.23,7.3,8.49,Ag11.50Au41.48Pd31.23Pt7.30Rh8.49,0.40659857
9.69,43.68,32.47,6.63,7.53,Ag9.69Au43.68Pd32.47Pt6.63Rh7.53,0.40404075
9.32,44.65,33.46,5.82,6.75,Ag9.32Au44.65Pd33.46Pt5.82Rh6.75,0.40198362
45.4,9.9,7.52,13.61,23.57,Ag45.40Au9.90Pd7.52Pt13.61Rh23.57,0.42861632
43.4,10.18,9.43,14.23,22.76,Ag43.40Au10.18Pd9.43Pt14.23Rh22.76,0.4304868
41.39,12.12,10.11,14.43,21.95,Ag41.39Au12.12Pd10.11Pt14.43Rh21.95,0.4300003
39.17,13.35,11.36,14.36,21.77,Ag39.17Au13.35Pd11.36Pt14.36Rh21.77,0.43044472
37.1,14.55,11.83,15.34,21.18,Ag37.10Au14.55Pd11.83Pt15.34Rh21.18,0.4315607
34.41,16.48,13.54,15.08,20.49,Ag34.41Au16.48Pd13.54Pt15.08Rh20.49,0.43116277
32.59,18.21,14.55,15.06,19.59,Ag32.59Au18.21Pd14.55Pt15.06Rh19.59,0.43034467
31.02,20.11,17.02,14.43,17.42,Ag31.02Au20.11Pd17.02Pt14.43Rh17.42,0.4280865
27.49,22.28,17.96,14.55,17.73,Ag27.49Au22.28Pd17.96Pt14.55Rh17.73,0.4285788
25.65,24.12,20.3,13.77,16.16,Ag25.65Au24.12Pd20.30Pt13.77Rh16.16,0.42654544
23.52,26.85,21.55,13.53,14.56,Ag23.52Au26.85Pd21.55Pt13.53Rh14.56,0.42412406
21.3,27.75,23.75,12.91,14.29,Ag21.30Au27.75Pd23.75Pt12.91Rh14.29,0.4239856
19.8,30.45,23.82,12.54,13.38,Ag19.80Au30.45Pd23.82Pt12.54Rh13.38,0.42118287
17.76,32.2,25.77,11.43,12.84,Ag17.76Au32.20Pd25.77Pt11.43Rh12.84,0.41925925
16.26,35.2,26.61,10.87,11.06,Ag16.26Au35.20Pd26.61Pt10.87Rh11.06,0.41551417
14.09,36.41,28.88,10.28,10.33,Ag14.09Au36.41Pd28.88Pt10.28Rh10.33,0.41462484
13.77,36.59,30.48,10.01,9.17,Ag13.77Au36.59Pd30.48Pt10.01Rh9.17,0.4138891
12.57,38.85,31.3,8.76,8.51,Ag12.57Au38.85Pd31.30Pt8.76Rh8.51,0.4104863
10.91,40.63,32.54,8.02,7.9,Ag10.91Au40.63Pd32.54Pt8.02Rh7.90,0.4084272
9.96,41.31,33.9,7.55,7.28,Ag9.96Au41.31Pd33.90Pt7.55Rh7.28,0.4074573
9.23,42.5,35.31,6.36,6.59,Ag9.23Au42.50Pd35.31Pt6.36Rh6.59,0.4049827
45.76,9.73,8.11,14.4,22.0,Ag45.76Au9.73Pd8.11Pt14.40Rh22.00,0.42873895
44.09,10.72,9.09,15.45,20.65,Ag44.09Au10.72Pd9.09Pt15.45Rh20.65,0.42966947
41.74,11.65,10.36,15.67,20.58,Ag41.74Au11.65Pd10.36Pt15.67Rh20.58,0.43091387
39.23,13.26,12.54,15.32,19.65,Ag39.23Au13.26Pd12.54Pt15.32Rh19.65,0.4306807
37.47,14.23,12.29,16.11,19.9,Ag37.47Au14.23Pd12.29Pt16.11Rh19.90,0.43188116
34.85,15.99,14.44,16.18,18.54,Ag34.85Au15.99Pd14.44Pt16.18Rh18.54,0.43168926
33.35,17.91,15.28,16.25,17.21,Ag33.35Au17.91Pd15.28Pt16.25Rh17.21,0.43030584
30.08,18.98,17.52,15.98,17.44,Ag30.08Au18.98Pd17.52Pt15.98Rh17.44,0.4315792
28.32,21.46,18.41,15.4,16.41,Ag28.32Au21.46Pd18.41Pt15.40Rh16.41,0.42918435
26.68,22.52,20.66,14.91,15.23,Ag26.68Au22.52Pd20.66Pt14.91Rh15.23,0.4283322
24.16,25.14,22.35,14.47,13.88,Ag24.16Au25.14Pd22.35Pt14.47Rh13.88,0.42625788
21.76,26.87,24.19,14.16,13.03,Ag21.76Au26.87Pd24.19Pt14.16Rh13.03,0.4253688
19.03,29.65,25.81,13.13,12.38,Ag19.03Au29.65Pd25.81Pt13.13Rh12.38,0.4228178
17.25,31.26,27.17,12.34,11.98,Ag17.25Au31.26Pd27.17Pt12.34Rh11.98,0.42123127
16.9,32.84,28.26,12.06,9.95,Ag16.90Au32.84Pd28.26Pt12.06Rh9.95,0.41854784
14.49,34.46,29.9,11.32,9.83,Ag14.49Au34.46Pd29.90Pt11.32Rh9.83,0.41744816
14.06,35.73,30.86,10.45,8.91,Ag14.06Au35.73Pd30.86Pt10.45Rh8.91,0.41502202
12.62,36.99,32.47,10.14,7.79,Ag12.62Au36.99Pd32.47Pt10.14Rh7.79,0.41367832
11.24,38.55,33.89,8.73,7.59,Ag11.24Au38.55Pd33.89Pt8.73Rh7.59,0.4111994
9.77,40.68,35.46,7.87,6.22,Ag9.77Au40.68Pd35.46Pt7.87Rh6.22,0.40816253
8.64,41.07,36.62,7.31,6.36,Ag8.64Au41.07Pd36.62Pt7.31Rh6.36,0.40781718
44.81,10.07,8.85,16.5,19.77,Ag44.81Au10.07Pd8.85Pt16.50Rh19.77,0.43040115
43.28,11.29,10.37,16.63,18.43,Ag43.28Au11.29Pd10.37Pt16.63Rh18.43,0.43008095
40.19,12.29,11.75,17.21,18.56,Ag40.19Au12.29Pd11.75Pt17.21Rh18.56,0.43225247
37.44,14.11,13.54,17.14,17.77,Ag37.44Au14.11Pd13.54Pt17.14Rh17.77,0.43222946
35.0,15.4,14.79,17.05,17.76,Ag35.00Au15.40Pd14.79Pt17.05Rh17.76,0.43274283
32.56,17.49,16.3,17.26,16.38,Ag32.56Au17.49Pd16.30Pt17.26Rh16.38,0.43203816
30.87,18.4,18.69,16.62,15.42,Ag30.87Au18.40Pd18.69Pt16.62Rh15.42,0.43143708
